state_name,dist_name,year,rice_area_(1000_ha),rice_production_(1000_tons),rice_yield_(kg_per_ha),wheat_area_(1000_ha),wheat_production_(1000_tons),wheat_yield_(kg_per_ha),groundnut_area_(1000_ha),groundnut_production_(1000_tons),groundnut_yield_(kg_per_ha),sunflower_area_(1000_ha),sunflower_production_(1000_tons),sunflower_yield_(kg_per_ha),soyabean_area_(1000_ha),soyabean_production_(1000_tons),soyabean_yield_(kg_per_ha),oilseeds_area_(1000_ha),oilseeds_production_(1000_tons),oilseeds_yield_(kg_per_ha),sugarcane_area_(1000_ha),sugarcane_production_(1000_tons),sugarcane_yield_(kg_per_ha),cotton_area_(1000_ha),cotton_production_(1000_tons),cotton_yield_(kg_per_ha)
chhattisgarh,durg,1966,548.0,185.0,337.59,44.0,20.0,454.55,0.2,0.1,500.0,0.0,0.0,0.0,0.0,0.0,0.0,50.7,0.0,0.0,0.9,1.6,1777.78,0.0,0.0,0.0
chhattisgarh,durg,1967,547.0,409.0,747.71,50.0,26.0,520.0,0.1,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,113.55,0.0,0.0,0.8,1.2,1500.0,0.0,0.0,0.0
chhattisgarh,durg,1968,556.3,468.0,841.27,53.7,30.0,558.66,0.1,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,126.62,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0
chhattisgarh,durg,1969,563.4,400.8,711.4,49.4,26.5,536.44,0.1,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,114.14,14.9,130.54,1.0,1.9,1900.0,0.0,0.0,0.0
chhattisgarh,durg,1970,571.6,473.6,828.55,44.2,29.0,656.11,0.1,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,126.4,24.3,192.25,0.7,1.4,2000.0,0.0,0.0,0.0
chhattisgarh,durg,1971,581.8,412.9,709.69,44.4,25.8,581.08,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.2,20.2,162.64,0.5,1.0,2000.0,0.0,0.0,0.0
chhattisgarh,durg,1972,582.2,381.0,654.41,39.6,20.6,520.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.8,25.4,205.17,0.5,1.0,2000.0,0.0,0.0,0.0
chhattisgarh,durg,1973,600.0,471.9,786.5,37.3,18.6,498.66,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.2,30.3,232.72,0.2,1.2,6000.0,0.0,0.0,0.0
chhattisgarh,durg,1974,587.4,219.0,372.83,36.5,22.4,613.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,23.9,246.9,0.8,1.5,1875.0,0.0,0.0,0.0
chhattisgarh,durg,1975,598.3,454.0,758.82,49.2,27.8,565.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.5,30.8,234.22,0.8,1.4,1750.0,0.0,0.0,0.0
chhattisgarh,durg,1976,593.6,327.1,551.04,46.9,10.0,213.22,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.7,7.1,67.17,0.6,0.8,1333.33,0.0,0.0,0.0
chhattisgarh,durg,1977,600.7,572.4,952.89,53.1,27.1,510.36,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.6,24.5,190.51,0.1,0.3,3000.0,0.0,0.0,0.0
chhattisgarh,durg,1978,612.5,362.2,591.35,48.7,25.6,525.67,0.1,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,145.6,17.5,120.19,0.1,0.2,2000.0,0.0,0.0,0.0
chhattisgarh,durg,1979,616.8,330.6,535.99,44.6,17.8,399.1,0.1,0.2,2000.0,0.0,0.0,0.0,0.1,0.0,0.0,102.8,5.4,52.53,0.1,0.1,1000.0,0.0,0.0,0.0
chhattisgarh,durg,1980,634.9,515.6,812.1,44.1,33.6,761.9,0.1,0.2,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,113.4,19.8,174.6,0.1,0.1,1000.0,0.0,0.0,0.0
