state_name,dist_name,year,rice_area_(1000_ha),rice_production_(1000_tons),rice_yield_(kg_per_ha),wheat_area_(1000_ha),wheat_production_(1000_tons),wheat_yield_(kg_per_ha),groundnut_area_(1000_ha),groundnut_production_(1000_tons),groundnut_yield_(kg_per_ha),sunflower_area_(1000_ha),sunflower_production_(1000_tons),sunflower_yield_(kg_per_ha),soyabean_area_(1000_ha),soyabean_production_(1000_tons),soyabean_yield_(kg_per_ha),oilseeds_area_(1000_ha),oilseeds_production_(1000_tons),oilseeds_yield_(kg_per_ha),sugarcane_area_(1000_ha),sugarcane_production_(1000_tons),sugarcane_yield_(kg_per_ha),cotton_area_(1000_ha),cotton_production_(1000_tons),cotton_yield_(kg_per_ha),fruits_and_vegetables_area_(1000_ha),potatoes_area_(1000_ha),onion_area_(1000_ha),monsoon_avg,normal_monsoon_avg,rainfall_deviation
chhattisgarh,durg,1969,563.4,400.8,711.4,49.4,26.5,536.44,0.1,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,114.14,14.9,130.54,1.0,1.9,1900.0,0.0,0.0,0.0,12.69,0.01,0.56,223.525,274.0,-50.474999999999994
chhattisgarh,durg,1970,571.6,473.6,828.55,44.2,29.0,656.11,0.1,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,126.4,24.3,192.25,0.7,1.4,2000.0,0.0,0.0,0.0,12.64,0.02,0.52,350.75,274.0,76.75
chhattisgarh,durg,1971,581.8,412.9,709.69,44.4,25.8,581.08,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.2,20.2,162.64,0.5,1.0,2000.0,0.0,0.0,0.0,12.91,0.01,0.54,297.575,274.0,23.57499999999999
chhattisgarh,durg,1972,582.2,381.0,654.41,39.6,20.6,520.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.8,25.4,205.17,0.5,1.0,2000.0,0.0,0.0,0.0,13.01,0.01,0.55,234.05,274.0,-39.94999999999999
chhattisgarh,durg,1973,600.0,471.9,786.5,37.3,18.6,498.66,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.2,30.3,232.72,0.2,1.2,6000.0,0.0,0.0,0.0,12.9,0.01,0.53,315.05,274.0,41.05000000000001
chhattisgarh,durg,1974,587.4,219.0,372.83,36.5,22.4,613.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,23.9,246.9,0.8,1.5,1875.0,0.0,0.0,0.0,12.64,0.03,0.45,138.325,274.0,-135.675
chhattisgarh,durg,1975,598.3,454.0,758.82,49.2,27.8,565.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.5,30.8,234.22,0.8,1.4,1750.0,0.0,0.0,0.0,12.97,0.05,0.52,271.575,274.0,-2.4250000000000114
chhattisgarh,durg,1976,593.6,327.1,551.04,46.9,10.0,213.22,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.7,7.1,67.17,0.6,0.8,1333.33,0.0,0.0,0.0,12.76,0.06,0.46,234.2,274.0,-39.80000000000001
chhattisgarh,durg,1977,600.7,572.4,952.89,53.1,27.1,510.36,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.6,24.5,190.51,0.1,0.3,3000.0,0.0,0.0,0.0,13.43,0.05,0.53,248.425,274.0,-25.57499999999999
chhattisgarh,durg,1978,612.5,362.2,591.35,48.7,25.6,525.67,0.1,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,145.6,17.5,120.19,0.1,0.2,2000.0,0.0,0.0,0.0,13.41,0.04,0.43,276.5,274.0,2.5
