state_name,dist_name,year,rice_area_(1000_ha),rice_production_(1000_tons),rice_yield_(kg_per_ha),wheat_area_(1000_ha),wheat_production_(1000_tons),wheat_yield_(kg_per_ha),groundnut_area_(1000_ha),groundnut_production_(1000_tons),groundnut_yield_(kg_per_ha),sunflower_area_(1000_ha),sunflower_production_(1000_tons),sunflower_yield_(kg_per_ha),soyabean_area_(1000_ha),soyabean_production_(1000_tons),soyabean_yield_(kg_per_ha),oilseeds_area_(1000_ha),oilseeds_production_(1000_tons),oilseeds_yield_(kg_per_ha),sugarcane_area_(1000_ha),sugarcane_production_(1000_tons),sugarcane_yield_(kg_per_ha),cotton_area_(1000_ha),cotton_production_(1000_tons),cotton_yield_(kg_per_ha),dist_code,state_code,january_rainfall_millimeters,february_rainfall_millimeters,march_rainfall_millimeters,april_rainfall_millimeters,may_rainfall_millimeters,june_rainfall_millimeters,july_rainfall_millimeters,august_rainfall_millimeters,september_rainfall_millimeters,october_rainfall_millimeters,november_rainfall_millimeters,december_rainfall_millimeters,annual_rainfall_millimeters,monsoon_rainfall
chhattisgarh,durg,1966,548.0,185.0,337.59,44.0,20.0,454.55,0.2,0.1,500.0,0.0,0.0,0.0,0.0,0.0,0.0,50.7,0.0,0.0,0.9,1.6,1777.78,0.0,0.0,0.0,1,14,1.4,0.0,0.0,8.9,38.6,169.5,249.5,182.6,112.6,4.8,0.9,1.0,769.8,719.0
chhattisgarh,durg,1967,547.0,409.0,747.71,50.0,26.0,520.0,0.1,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,113.55,0.0,0.0,0.8,1.2,1500.0,0.0,0.0,0.0,1,14,0.1,0.0,73.4,0.6,0.0,237.5,342.9,428.8,142.8,3.3,0.0,34.2,1263.5,1155.3
chhattisgarh,durg,1968,556.3,468.0,841.27,53.7,30.0,558.66,0.1,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,126.62,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,1,14,27.8,11.3,13.5,17.6,1.4,229.1,410.4,156.4,256.6,39.3,0.0,9.1,1172.3,1091.8
chhattisgarh,durg,1969,563.4,400.8,711.4,49.4,26.5,536.44,0.1,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,114.14,14.9,130.54,1.0,1.9,1900.0,0.0,0.0,0.0,1,14,0.6,0.0,0.0,15.3,16.5,98.3,375.8,239.1,180.9,2.5,0.0,0.0,929.0,896.6
chhattisgarh,durg,1970,571.6,473.6,828.55,44.2,29.0,656.11,0.1,0.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,126.4,24.3,192.25,0.7,1.4,2000.0,0.0,0.0,0.0,1,14,8.3,7.9,32.9,0.2,2.3,317.2,535.9,410.9,139.0,29.7,0.0,0.0,1484.3,1432.7
chhattisgarh,durg,1971,581.8,412.9,709.69,44.4,25.8,581.08,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.2,20.2,162.64,0.5,1.0,2000.0,0.0,0.0,0.0,1,14,17.0,12.3,16.7,22.4,15.9,436.0,309.6,366.4,78.3,112.7,0.0,0.0,1387.3,1303.0
chhattisgarh,durg,1972,582.2,381.0,654.41,39.6,20.6,520.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.8,25.4,205.17,0.5,1.0,2000.0,0.0,0.0,0.0,1,14,0.0,0.2,3.9,2.8,1.0,144.9,193.1,371.6,226.6,29.7,72.2,0.9,1046.9,965.9000000000001
chhattisgarh,durg,1973,600.0,471.9,786.5,37.3,18.6,498.66,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.2,30.3,232.72,0.2,1.2,6000.0,0.0,0.0,0.0,1,14,0.8,1.2,0.2,0.4,0.2,96.7,595.2,335.8,232.5,220.0,0.0,0.0,1483.0,1480.2
chhattisgarh,durg,1974,587.4,219.0,372.83,36.5,22.4,613.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,23.9,246.9,0.8,1.5,1875.0,0.0,0.0,0.0,1,14,0.0,0.6,0.0,0.0,0.0,76.6,149.1,253.6,74.0,30.6,0.4,0.0,584.9,583.9
chhattisgarh,durg,1975,598.3,454.0,758.82,49.2,27.8,565.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.5,30.8,234.22,0.8,1.4,1750.0,0.0,0.0,0.0,1,14,0.0,0.2,3.9,0.0,0.0,190.3,387.5,320.4,188.1,172.0,0.0,0.0,1262.5,1258.3
