state_name,dist_name,year,monsoon_rainfall,rice_area_(1000_ha),rice_production_(1000_tons),rice_yield_(kg_per_ha)
chhattisgarh,durg,1966,719.0,548.0,185.0,337.59
chhattisgarh,durg,1967,1155.3,547.0,409.0,747.71
chhattisgarh,durg,1968,1091.8,556.3,468.0,841.27
chhattisgarh,durg,1969,896.6,563.4,400.8,711.4
chhattisgarh,durg,1970,1432.7,571.6,473.6,828.55
chhattisgarh,durg,1971,1303.0,581.8,412.9,709.69
chhattisgarh,durg,1972,965.9000000000001,582.2,381.0,654.41
chhattisgarh,durg,1973,1480.2,600.0,471.9,786.5
chhattisgarh,durg,1974,583.9,587.4,219.0,372.83
chhattisgarh,durg,1975,1258.3,598.3,454.0,758.82
chhattisgarh,durg,1976,936.8,593.6,327.1,551.04
chhattisgarh,durg,1977,1017.6,600.7,572.4,952.89
chhattisgarh,durg,1978,1118.0,612.5,362.2,591.35
chhattisgarh,durg,1979,838.4,616.8,330.6,535.99
chhattisgarh,durg,1980,1348.0,634.9,515.6,812.1
chhattisgarh,durg,1981,932.8,630.0,506.9,804.6
chhattisgarh,durg,1982,806.5,627.9,513.3,817.49
chhattisgarh,durg,1983,1043.8,626.7,711.0,1134.51
chhattisgarh,durg,1984,963.7,632.2,563.8,891.81
chhattisgarh,durg,1985,979.6,630.8,699.8,1109.38
chhattisgarh,durg,1986,992.1999999999999,643.0,525.0,816.49
chhattisgarh,durg,1987,694.3999999999999,648.0,523.0,807.1
chhattisgarh,durg,1988,642.2,652.7,549.7,842.19
chhattisgarh,durg,1990,1168.7000000000003,682.9,806.8,1181.43
chhattisgarh,durg,1991,741.5,680.8,773.6,1136.31
chhattisgarh,durg,1994,1458.9,726.8,967.9,1331.73
chhattisgarh,durg,1995,1325.8,723.3,1052.0,1454.44
chhattisgarh,durg,1996,1289.7,710.9,917.2,1290.2
chhattisgarh,durg,1997,1445.1,735.7,837.5,1138.37
chhattisgarh,durg,1998,1117.5,786.51,684.62,870.45
chhattisgarh,durg,1999,1734.2,769.79,963.04,1251.04
chhattisgarh,durg,2004,997.9,775.99,984.31,1268.46
chhattisgarh,durg,2005,640.7,775.99,984.31,1268.46
chhattisgarh,durg,2006,796.6,781.7,1177.1,1505.81
chhattisgarh,durg,2007,1060.8999999999999,799.89,1095.84,1369.98
chhattisgarh,durg,2008,898.0,803.37,704.09,876.42
chhattisgarh,durg,2009,695.7,789.04,622.05,788.37
chhattisgarh,durg,2010,1105.2,777.92,1319.18,1695.77
chhattisgarh,durg,2011,1194.5,806.55,1416.48,1756.23
chhattisgarh,durg,2012,1014.3,807.07,1534.22,1900.97
chhattisgarh,durg,2013,1537.2,819.44,1296.24,1581.86
